ensembl_gene_id	mgi_symbol	entrezgene	description
10090.ENSMUSP00000055673	ENSMUSG00000045534	Kcna5	16493	potassium voltage-gated channel, shaker-related subfamily, member 5 [Source:MGI Symbol;Acc:MGI:96662]
10090.ENSMUSP00000106689	ENSMUSG00000042604	Kcna4	16492	potassium voltage-gated channel, shaker-related subfamily, member 4 [Source:MGI Symbol;Acc:MGI:96661]
10090.ENSMUSP00000041702	ENSMUSG00000040724	Kcna2	16490	potassium voltage-gated channel, shaker-related subfamily, member 2 [Source:MGI Symbol;Acc:MGI:96659]
10090.ENSMUSP00000002008	ENSMUSG00000001943	Vsig2	57276	V-set and immunoglobulin domain containing 2 [Source:MGI Symbol;Acc:MGI:1928009]
10090.ENSMUSP00000049022	ENSMUSG00000037902	Sirpa	19261	signal-regulatory protein alpha [Source:MGI Symbol;Acc:MGI:108563]
10090.ENSMUSP00000089801	ENSMUSG00000069516	Lyz2	17105	lysozyme 2 [Source:MGI Symbol;Acc:MGI:96897]
10090.ENSMUSP00000100221	ENSMUSG00000076617	Ighm	NA	immunoglobulin heavy constant mu [Source:MGI Symbol;Acc:MGI:96448]
10090.ENSMUSP00000102170	ENSMUSG00000034359	Skint2	329919	selection and upkeep of intraepithelial T cells 2 [Source:MGI Symbol;Acc:MGI:3649629]
10090.ENSMUSP00000118012	ENSMUSG00000087642	Ighe	NA	Immunoglobulin heavy constant epsilon [Source:MGI Symbol;Acc:MGI:2685746]
10090.ENSMUSP00000002011	ENSMUSG00000001946	Esam	69524	endothelial cell-specific adhesion molecule [Source:MGI Symbol;Acc:MGI:1916774]
10090.ENSMUSP00000098436	ENSMUSG00000048163	Selplg	20345	selectin, platelet (p-selectin) ligand [Source:MGI Symbol;Acc:MGI:106689]
10090.ENSMUSP00000027871	ENSMUSG00000026581	Sell	20343	selectin, lymphocyte [Source:MGI Symbol;Acc:MGI:98279]
10090.ENSMUSP00000083208	ENSMUSG00000026580	Selp	20344	selectin, platelet [Source:MGI Symbol;Acc:MGI:98280]
10090.ENSMUSP00000041925	ENSMUSG00000041378	Cldn5	12741	claudin 5 [Source:MGI Symbol;Acc:MGI:1276112]
10090.ENSMUSP00000002025	ENSMUSG00000025519	Tktl2	74419	transketolase-like 2 [Source:MGI Symbol;Acc:MGI:1921669]
10090.ENSMUSP00000031018	ENSMUSG00000029136	Rbks	71336	ribokinase [Source:MGI Symbol;Acc:MGI:1918586]
10090.ENSMUSP00000026839	ENSMUSG00000025742	Prps2	110639	phosphoribosyl pyrophosphate synthetase 2 [Source:MGI Symbol;Acc:MGI:97776]
10090.ENSMUSP00000033809	ENSMUSG00000031432	Prps1	19139	phosphoribosyl pyrophosphate synthetase 1 [Source:MGI Symbol;Acc:MGI:97775]
10090.ENSMUSP00000084959	ENSMUSG00000030225	Dera	232449	2-deoxyribose-5-phosphate aldolase homolog (C. elegans) [Source:MGI Symbol;Acc:MGI:1913762]
10090.ENSMUSP00000029987	ENSMUSG00000028307	Aldob	230163	aldolase B, fructose-bisphosphate [Source:MGI Symbol;Acc:MGI:87995]
10090.ENSMUSP00000084846	ENSMUSG00000030695	Aldoa	11674	aldolase A, fructose-bisphosphate [Source:MGI Symbol;Acc:MGI:87994]
10090.ENSMUSP00000099536	ENSMUSG00000017390	Aldoc	11676	aldolase C, fructose-bisphosphate [Source:MGI Symbol;Acc:MGI:101863]
10090.ENSMUSP00000064158	ENSMUSG00000053604	Rpia	19895	ribose 5-phosphate isomerase A [Source:MGI Symbol;Acc:MGI:103254]
10090.ENSMUSP00000109628	ENSMUSG00000026005	Rpe	66646	ribulose-5-phosphate-3-epimerase [Source:MGI Symbol;Acc:MGI:1913896]
10090.ENSMUSP00000026576	ENSMUSG00000025503	Taldo1	21351	transaldolase 1 [Source:MGI Symbol;Acc:MGI:1274789]
10090.ENSMUSP00000002029	ENSMUSG00000001964	Emd	13726	emerin [Source:MGI Symbol;Acc:MGI:108117]
10090.ENSMUSP00000025762	ENSMUSG00000024844	Banf1	23825	barrier to autointegration factor 1 [Source:MGI Symbol;Acc:MGI:1346330]
10090.ENSMUSP00000029699	ENSMUSG00000028063	Lmna	16905	lamin A [Source:MGI Symbol;Acc:MGI:96794]
10090.ENSMUSP00000002044	ENSMUSG00000020700	Map3k3	26406	mitogen-activated protein kinase kinase kinase 3 [Source:MGI Symbol;Acc:MGI:1346874]
10090.ENSMUSP00000020949	ENSMUSG00000020623	Map2k6	26399	mitogen-activated protein kinase kinase 6 [Source:MGI Symbol;Acc:MGI:1346870]
10090.ENSMUSP00000019076	ENSMUSG00000018932	Map2k3	26397	mitogen-activated protein kinase kinase 3 [Source:MGI Symbol;Acc:MGI:1346868]
10090.ENSMUSP00000023050	ENSMUSG00000022414	Tab1	66513	TGF-beta activated kinase 1/MAP3K7 binding protein 1 [Source:MGI Symbol;Acc:MGI:1913763]
10090.ENSMUSP00000034920	ENSMUSG00000058444	Map2k5	23938	mitogen-activated protein kinase kinase 5 [Source:MGI Symbol;Acc:MGI:1346345]
10090.ENSMUSP00000002064	ENSMUSG00000001999	Blvra	109778	biliverdin reductase A [Source:MGI Symbol;Acc:MGI:88170]
10090.ENSMUSP00000072598	ENSMUSG00000061906	Ugt2b38	100559	UDP glucuronosyltransferase 2 family, polypeptide B38 [Source:MGI Symbol;Acc:MGI:2140794]
10090.ENSMUSP00000092233	ENSMUSG00000070704	Ugt2b36	231396	UDP glucuronosyltransferase 2 family, polypeptide B36 [Source:MGI Symbol;Acc:MGI:3576103]
10090.ENSMUSP00000031181	ENSMUSG00000029260	Ugt2b34	100727	UDP glucuronosyltransferase 2 family, polypeptide B34 [Source:MGI Symbol;Acc:MGI:2140962]
10090.ENSMUSP00000031195	ENSMUSG00000035780	Ugt2a3	72094	UDP glucuronosyltransferase 2 family, polypeptide A3 [Source:MGI Symbol;Acc:MGI:1919344]
10090.ENSMUSP00000078740	ENSMUSG00000029268	Ugt2a1;Ugt2a2	552899;94215	UDP glucuronosyltransferase 2 family, polypeptide A1 [Source:MGI Symbol;Acc:MGI:2149905]
10090.ENSMUSP00000002079	ENSMUSG00000031385	Plxnb3	140571	plexin B3 [Source:MGI Symbol;Acc:MGI:2154240]
10090.ENSMUSP00000003451	ENSMUSG00000054855	Rnd1	223881	Rho family GTPase 1 [Source:MGI Symbol;Acc:MGI:2444878]
10090.ENSMUSP00000021900	ENSMUSG00000021451	Sema4d	20354	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D [Source:MGI Symbol;Acc:MGI:109244]
10090.ENSMUSP00000069024	ENSMUSG00000022231	Sema5a	20356	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A [Source:MGI Symbol;Acc:MGI:107556]
10090.ENSMUSP00000002084	ENSMUSG00000031378	Abcd1	11666	ATP-binding cassette, sub-family D (ALD), member 1 [Source:MGI Symbol;Acc:MGI:1349215]
10090.ENSMUSP00000025567	ENSMUSG00000024665	Fads2	56473	fatty acid desaturase 2 [Source:MGI Symbol;Acc:MGI:1930079]
10090.ENSMUSP00000072717	ENSMUSG00000020777	Acox1	11430	acyl-Coenzyme A oxidase 1, palmitoyl [Source:MGI Symbol;Acc:MGI:1330812]
10090.ENSMUSP00000002090	ENSMUSG00000002014	Ssr4	20832	signal sequence receptor, delta [Source:MGI Symbol;Acc:MGI:1099464]
10090.ENSMUSP00000098648	ENSMUSG00000036323	Srp72	66661	signal recognition particle 72 [Source:MGI Symbol;Acc:MGI:1333795]
10090.ENSMUSP00000009693	ENSMUSG00000009549	Srp14	100504988;20813	signal recognition particle 14 [Source:MGI Symbol;Acc:MGI:107169]
10090.ENSMUSP00000021133	ENSMUSG00000020780	Srp68	217337	signal recognition particle 68 [Source:MGI Symbol;Acc:MGI:1917447]
10090.ENSMUSP00000027792	ENSMUSG00000026511	Srp9	27058	signal recognition particle 9 [Source:MGI Symbol;Acc:MGI:1350930]
10090.ENSMUSP00000027068	ENSMUSG00000025935	Tram1	72265	translocating chain-associating membrane protein 1 [Source:MGI Symbol;Acc:MGI:1919515]
10090.ENSMUSP00000072386	ENSMUSG00000014504	Srp19	66384	signal recognition particle 19 [Source:MGI Symbol;Acc:MGI:1913634]
10090.ENSMUSP00000046506	ENSMUSG00000041841	Rpl37	100502825;67281	ribosomal protein L37 [Source:MGI Symbol;Acc:MGI:1914531]
10090.ENSMUSP00000025394	ENSMUSG00000024516	Sec11c	66286	SEC11 homolog C (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913536]
10090.ENSMUSP00000032143	ENSMUSG00000030062	Rpn1	103963	ribophorin I [Source:MGI Symbol;Acc:MGI:98084]
10090.ENSMUSP00000035157	ENSMUSG00000032553	Srprb	20818	signal recognition particle receptor, B subunit [Source:MGI Symbol;Acc:MGI:102964]
10090.ENSMUSP00000022478	ENSMUSG00000021917	Spcs1	69019	signal peptidase complex subunit 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1916269]
10090.ENSMUSP00000041152	ENSMUSG00000035227	Spcs2	66624	signal peptidase complex subunit 2 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913874]
10090.ENSMUSP00000030538	ENSMUSG00000028757	Ddost	13200	dolichyl-di-phosphooligosaccharide-protein glycotransferase [Source:MGI Symbol;Acc:MGI:1194508]
10090.ENSMUSP00000034541	ENSMUSG00000032042	Srpr	67398	signal recognition particle receptor ('docking protein') [Source:MGI Symbol;Acc:MGI:1914648]
10090.ENSMUSP00000112944	ENSMUSG00000025724	Sec11a	56529	SEC11 homolog A (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1929464]
10090.ENSMUSP00000099417	ENSMUSG00000027642	Rpn2	20014	ribophorin II [Source:MGI Symbol;Acc:MGI:98085]
10090.ENSMUSP00000084053	ENSMUSG00000021427	Ssr1	107513	signal sequence receptor, alpha [Source:MGI Symbol;Acc:MGI:105082]
10090.ENSMUSP00000045456	ENSMUSG00000041355	Ssr2	66256	signal sequence receptor, beta [Source:MGI Symbol;Acc:MGI:1913506]
10090.ENSMUSP00000029414	ENSMUSG00000027828	Ssr3	67437	signal sequence receptor, gamma [Source:MGI Symbol;Acc:MGI:1914687]
10090.ENSMUSP00000002091	ENSMUSG00000002015	Bcap31	27061	B cell receptor associated protein 31 [Source:MGI Symbol;Acc:MGI:1350933]
10090.ENSMUSP00000002101	ENSMUSG00000002033	Cd3g	12502	CD3 antigen, gamma polypeptide [Source:MGI Symbol;Acc:MGI:88333]
10090.ENSMUSP00000025181	ENSMUSG00000061232	H2-K1	14972	histocompatibility 2, K1, K region [Source:MGI Symbol;Acc:MGI:95904]
10090.ENSMUSP00000046105	ENSMUSG00000036594	H2-Aa	14960	histocompatibility 2, class II antigen A, alpha [Source:MGI Symbol;Acc:MGI:95895]
10090.ENSMUSP00000084418	ENSMUSG00000073411	H2-D1	14964	histocompatibility 2, D region locus 1 [Source:MGI Symbol;Acc:MGI:95896]
10090.ENSMUSP00000035687	ENSMUSG00000016206	H2-M3	14991	histocompatibility 2, M region locus 3 [Source:MGI Symbol;Acc:MGI:95915]
10090.ENSMUSP00000032997	ENSMUSG00000030742	Lat	16797	linker for activation of T cells [Source:MGI Symbol;Acc:MGI:1342293]
10090.ENSMUSP00000070131	ENSMUSG00000053044	Cd8b1	12526	CD8 antigen, beta chain 1 [Source:MGI Symbol;Acc:MGI:88347]
10090.ENSMUSP00000056814	ENSMUSG00000067341	H2-Eb2	381091	histocompatibility 2, class II antigen E beta2 [Source:MGI Symbol;Acc:MGI:95902]
10090.ENSMUSP00000075654	ENSMUSG00000060586	H2-Eb1	14969	histocompatibility 2, class II antigen E beta [Source:MGI Symbol;Acc:MGI:95901]
10090.ENSMUSP00000034863	ENSMUSG00000032312	Csk	12988	c-src tyrosine kinase [Source:MGI Symbol;Acc:MGI:88537]
10090.ENSMUSP00000104021	ENSMUSG00000027508	Pag1	94212	phosphoprotein associated with glycosphingolipid microdomains 1 [Source:MGI Symbol;Acc:MGI:2443160]
10090.ENSMUSP00000028118	ENSMUSG00000026778	Prkcq	18761	protein kinase C, theta [Source:MGI Symbol;Acc:MGI:97601]
10090.ENSMUSP00000099534	ENSMUSG00000060802	B2m	12010	beta-2 microglobulin [Source:MGI Symbol;Acc:MGI:88127]
10090.ENSMUSP00000046532	ENSMUSG00000042351	Grap2	17444	GRB2-related adaptor protein 2 [Source:MGI Symbol;Acc:MGI:1333842]
10090.ENSMUSP00000087947	ENSMUSG00000022148	Fyb	23880	FYN binding protein [Source:MGI Symbol;Acc:MGI:1346327]
10090.ENSMUSP00000027291	ENSMUSG00000026117	Zap70	22637	zeta-chain (TCR) associated protein kinase [Source:MGI Symbol;Acc:MGI:99613]
10090.ENSMUSP00000027507	ENSMUSG00000026285	Pdcd1	18566	programmed cell death 1 [Source:MGI Symbol;Acc:MGI:104879]
10090.ENSMUSP00000068123	ENSMUSG00000053977	Cd8a	12525	CD8 antigen, alpha chain [Source:MGI Symbol;Acc:MGI:88346]
10090.ENSMUSP00000027849	ENSMUSG00000005763	Cd247	12503	CD247 antigen [Source:MGI Symbol;Acc:MGI:88334]
10090.ENSMUSP00000074352	ENSMUSG00000026395	Ptprc	19264	protein tyrosine phosphatase, receptor type, C [Source:MGI Symbol;Acc:MGI:97810]
10090.ENSMUSP00000099896	ENSMUSG00000032093	Cd3e	12501	CD3 antigen, epsilon polypeptide [Source:MGI Symbol;Acc:MGI:88332]
10090.ENSMUSP00000104860	ENSMUSG00000020395	Itk	16428	IL2 inducible T cell kinase [Source:MGI Symbol;Acc:MGI:96621]
10090.ENSMUSP00000034602	ENSMUSG00000032094	Cd3d	12500	CD3 antigen, delta polypeptide [Source:MGI Symbol;Acc:MGI:88331]
10090.ENSMUSP00000002121	ENSMUSG00000002052	Supt6h	20926	suppressor of Ty 6 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:107726]
10090.ENSMUSP00000025243	ENSMUSG00000024384	Iws1	73473	IWS1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1920723]
10090.ENSMUSP00000002152	ENSMUSG00000002083	Bbc3	170770	BCL2 binding component 3 [Source:MGI Symbol;Acc:MGI:2181667]
10090.ENSMUSP00000079002	ENSMUSG00000057329	Bcl2	12043	B cell leukemia/lymphoma 2 [Source:MGI Symbol;Acc:MGI:88138]
10090.ENSMUSP00000086454	ENSMUSG00000007659	Bcl2l1	12048	BCL2-like 1 [Source:MGI Symbol;Acc:MGI:88139]
10090.ENSMUSP00000021277	ENSMUSG00000020897	Aurkb	20877	aurora kinase B [Source:MGI Symbol;Acc:MGI:107168]
10090.ENSMUSP00000028997	ENSMUSG00000027496	Aurka	20878	aurora kinase A [Source:MGI Symbol;Acc:MGI:894678]
10090.ENSMUSP00000039264	ENSMUSG00000037321	Tap1	21354	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [Source:MGI Symbol;Acc:MGI:98483]
10090.ENSMUSP00000085244	ENSMUSG00000041763	Tpp2	22019	tripeptidyl peptidase II [Source:MGI Symbol;Acc:MGI:102724]
10090.ENSMUSP00000110398	ENSMUSG00000022812	Gsk3b	56637	glycogen synthase kinase 3 beta [Source:MGI Symbol;Acc:MGI:1861437]
10090.ENSMUSP00000011323	ENSMUSG00000011179	Odc1	18263	ornithine decarboxylase, structural 1 [Source:MGI Symbol;Acc:MGI:97402]
10090.ENSMUSP00000036998	ENSMUSG00000023845	Lnpep	240028	leucyl/cystinyl aminopeptidase [Source:MGI Symbol;Acc:MGI:2387123]
10090.ENSMUSP00000020085	ENSMUSG00000019927	Ube2d1	216080	ubiquitin-conjugating enzyme E2D 1, UBC4/5 homolog (yeast) [Source:MGI Symbol;Acc:MGI:2384911]
10090.ENSMUSP00000021197	ENSMUSG00000020840	Blmh	104184	bleomycin hydrolase [Source:MGI Symbol;Acc:MGI:1345186]
10090.ENSMUSP00000081573	ENSMUSG00000066149	Cdc26	66440	cell division cycle 26 [Source:MGI Symbol;Acc:MGI:1913690]
10090.ENSMUSP00000014499	ENSMUSG00000014355	Anapc1	17222	anaphase promoting complex subunit 1 [Source:MGI Symbol;Acc:MGI:103097]
10090.ENSMUSP00000023467	ENSMUSG00000022781	Pak2	224105	p21 protein (Cdc42/Rac)-activated kinase 2 [Source:MGI Symbol;Acc:MGI:1339984]
10090.ENSMUSP00000037126	ENSMUSG00000040084	Bub1b	12236	budding uninhibited by benzimidazoles 1 homolog, beta (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1333889]
10090.ENSMUSP00000047950	ENSMUSG00000038416	Cdc16	69957	CDC16 cell division cycle 16 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1917207]
10090.ENSMUSP00000048244	ENSMUSG00000036977	Anapc10	68999	anaphase promoting complex subunit 10 [Source:MGI Symbol;Acc:MGI:1916249]
10090.ENSMUSP00000073974	ENSMUSG00000024182	Axin1	12005	axin 1 [Source:MGI Symbol;Acc:MGI:1096327]
10090.ENSMUSP00000102575	ENSMUSG00000020687	Cdc27	217232	cell division cycle 27 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:102685]
10090.ENSMUSP00000105495	ENSMUSG00000032869	Psmf1	228769	proteasome (prosome, macropain) inhibitor subunit 1 [Source:MGI Symbol;Acc:MGI:1346072]
10090.ENSMUSP00000107571	ENSMUSG00000025217	Btrc	12234	beta-transducin repeat containing protein [Source:MGI Symbol;Acc:MGI:1338871]
10090.ENSMUSP00000122420	ENSMUSG00000024370	Cdc23	52563	CDC23 (cell division cycle 23, yeast, homolog) [Source:MGI Symbol;Acc:MGI:1098815]
10090.ENSMUSP00000081547	ENSMUSG00000066979	Bub3	12237	budding uninhibited by benzimidazoles 3 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1343463]
10090.ENSMUSP00000098894	ENSMUSG00000020415	Pttg1	30939	pituitary tumor-transforming gene 1 [Source:MGI Symbol;Acc:MGI:1353578]
10090.ENSMUSP00000022296	ENSMUSG00000021774	Ube2e1	100503235;22194	ubiquitin-conjugating enzyme E2E 1, UBC4/5 homolog (yeast) [Source:MGI Symbol;Acc:MGI:107411]
10090.ENSMUSP00000031422	ENSMUSG00000029466	Anapc7	56317	anaphase promoting complex subunit 7 [Source:MGI Symbol;Acc:MGI:1929711]
10090.ENSMUSP00000031697	ENSMUSG00000029686	Cul1	26965	cullin 1 [Source:MGI Symbol;Acc:MGI:1349658]
10090.ENSMUSP00000055922	ENSMUSG00000035242	Oaz1	18245	ornithine decarboxylase antizyme 1 [Source:MGI Symbol;Acc:MGI:109433]
10090.ENSMUSP00000085581	ENSMUSG00000001403	Ube2c	68612	ubiquitin-conjugating enzyme E2C [Source:MGI Symbol;Acc:MGI:1915862]
10090.ENSMUSP00000028341	ENSMUSG00000026965	Anapc2	99152	anaphase promoting complex subunit 2 [Source:MGI Symbol;Acc:MGI:2139135]
10090.ENSMUSP00000087046	ENSMUSG00000022216	Psme1	19186	proteasome (prosome, macropain) 28 subunit, alpha [Source:MGI Symbol;Acc:MGI:1096367]
10090.ENSMUSP00000104700	ENSMUSG00000036309	Skp1a	21402	S-phase kinase-associated protein 1A [Source:MGI Symbol;Acc:MGI:103575]
10090.ENSMUSP00000031072	ENSMUSG00000029176	Anapc4	52206	anaphase promoting complex subunit 4 [Source:MGI Symbol;Acc:MGI:1098673]
10090.ENSMUSP00000042590	ENSMUSG00000036743	Psma8	73677	proteasome (prosome, macropain) subunit, alpha type, 8 [Source:MGI Symbol;Acc:MGI:1920927]
10090.ENSMUSP00000040741	ENSMUSG00000042541	Shfm1	20422	split hand/foot malformation (ectrodactyly) type 1 [Source:MGI Symbol;Acc:MGI:109238]
10090.ENSMUSP00000099436	ENSMUSG00000069744	Psmb3	26446	proteasome (prosome, macropain) subunit, beta type 3 [Source:MGI Symbol;Acc:MGI:1347014]
10090.ENSMUSP00000053348	ENSMUSG00000029440	Psmd9	67151	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9 [Source:MGI Symbol;Acc:MGI:1914401]
10090.ENSMUSP00000028225	ENSMUSG00000026869	Psmd5	66998	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5 [Source:MGI Symbol;Acc:MGI:1914248]
10090.ENSMUSP00000033805	ENSMUSG00000031429	Psmd10	53380	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10 [Source:MGI Symbol;Acc:MGI:1858898]
10090.ENSMUSP00000041968	ENSMUSG00000039067	Psmd7	17463	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 [Source:MGI Symbol;Acc:MGI:1351511]
10090.ENSMUSP00000051657	ENSMUSG00000030591	Psmd8	57296	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8 [Source:MGI Symbol;Acc:MGI:1888669]
10090.ENSMUSP00000106140	ENSMUSG00000015671	Psma2	19166	proteasome (prosome, macropain) subunit, alpha type 2 [Source:MGI Symbol;Acc:MGI:104885]
10090.ENSMUSP00000077426	ENSMUSG00000029148	Nrbp1	192292	nuclear receptor binding protein 1 [Source:MGI Symbol;Acc:MGI:2183436]
10090.ENSMUSP00000108453	ENSMUSG00000036192	Rorb	225998	RAR-related orphan receptor beta [Source:MGI Symbol;Acc:MGI:1343464]
10090.ENSMUSP00000104939	ENSMUSG00000017754	Pltp	18830	phospholipid transfer protein [Source:MGI Symbol;Acc:MGI:103151]
10090.ENSMUSP00000029905	ENSMUSG00000028240	Cyp7a1	13122	cytochrome P450, family 7, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:106091]
10090.ENSMUSP00000035246	ENSMUSG00000024254	Abcg8	67470	ATP-binding cassette, sub-family G (WHITE), member 8 [Source:MGI Symbol;Acc:MGI:1914720]
10090.ENSMUSP00000024829	ENSMUSG00000024030	Abcg1	11307	ATP-binding cassette, sub-family G (WHITE), member 1 [Source:MGI Symbol;Acc:MGI:107704]
10090.ENSMUSP00000030010	ENSMUSG00000015243	Abca1	11303	ATP-binding cassette, sub-family A (ABC1), member 1 [Source:MGI Symbol;Acc:MGI:99607]
10090.ENSMUSP00000002180	ENSMUSG00000002111	Sfpi1	20375	SFFV proviral integration 1 [Source:MGI Symbol;Acc:MGI:98282]
10090.ENSMUSP00000039041	ENSMUSG00000042817	Flt3	14255	FMS-like tyrosine kinase 3 [Source:MGI Symbol;Acc:MGI:95559]
10090.ENSMUSP00000023673	ENSMUSG00000022952	Runx1	12394	runt related transcription factor 1 [Source:MGI Symbol;Acc:MGI:99852]
10090.ENSMUSP00000015197	ENSMUSG00000015053	Gata2	14461	GATA binding protein 2 [Source:MGI Symbol;Acc:MGI:95662]
10090.ENSMUSP00000020974	ENSMUSG00000020644	Id2	15902	inhibitor of DNA binding 2 [Source:MGI Symbol;Acc:MGI:96397]
10090.ENSMUSP00000066825	ENSMUSG00000029275	Gfi1	14581	growth factor independent 1 [Source:MGI Symbol;Acc:MGI:103170]
10090.ENSMUSP00000025523	ENSMUSG00000024621	Csf1r	12978	colony stimulating factor 1 receptor [Source:MGI Symbol;Acc:MGI:1339758]
10090.ENSMUSP00000002198	ENSMUSG00000002129	Sf3a1	67465	splicing factor 3a, subunit 1 [Source:MGI Symbol;Acc:MGI:1914715]
10090.ENSMUSP00000007266	ENSMUSG00000007050	Lsm2	27756	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:90676]
10090.ENSMUSP00000096222	ENSMUSG00000015165	Hnrnpl	15388	heterogeneous nuclear ribonucleoprotein L [Source:MGI Symbol;Acc:MGI:104816]
10090.ENSMUSP00000026125	ENSMUSG00000025134	Alyref	21681	Aly/REF export factor [Source:MGI Symbol;Acc:MGI:1341044]
10090.ENSMUSP00000011450	ENSMUSG00000011306	Sugp1	70616	SURP and G patch domain containing 1 [Source:MGI Symbol;Acc:MGI:1917866]
10090.ENSMUSP00000028475	ENSMUSG00000027079	Clp1	98985	CLP1, cleavage and polyadenylation factor I subunit, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2138968]
10090.ENSMUSP00000028599	ENSMUSG00000027176	Cstf3	228410	cleavage stimulation factor, 3' pre-RNA, subunit 3 [Source:MGI Symbol;Acc:MGI:1351825]
10090.ENSMUSP00000030743	ENSMUSG00000028911	Srsf4	57317	serine/arginine-rich splicing factor 4 [Source:MGI Symbol;Acc:MGI:1890577]
10090.ENSMUSP00000037268	ENSMUSG00000040725	Hnrnpul1	232989	heterogeneous nuclear ribonucleoprotein U-like 1 [Source:MGI Symbol;Acc:MGI:2443517]
10090.ENSMUSP00000044036	ENSMUSG00000041328	Pcf11	74737	cleavage and polyadenylation factor subunit homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1919579]
10090.ENSMUSP00000044645	ENSMUSG00000041133	Smc1a	24061	structural maintenance of chromosomes 1A [Source:MGI Symbol;Acc:MGI:1344345]
10090.ENSMUSP00000068069	ENSMUSG00000054405	Dnajc8	68598	DnaJ (Hsp40) homolog, subfamily C, member 8 [Source:MGI Symbol;Acc:MGI:1915848]
10090.ENSMUSP00000068148	ENSMUSG00000054309	Cpsf3	54451	cleavage and polyadenylation specificity factor 3 [Source:MGI Symbol;Acc:MGI:1859328]
10090.ENSMUSP00000100771	ENSMUSG00000078348	Sf3b5	66125	splicing factor 3b, subunit 5 [Source:MGI Symbol;Acc:MGI:1913375]
10090.ENSMUSP00000101476	ENSMUSG00000066037	Hnrnpr	74326	heterogeneous nuclear ribonucleoprotein R [Source:MGI Symbol;Acc:MGI:1891692]
10090.ENSMUSP00000101488	ENSMUSG00000028809	Srrm1	51796	serine/arginine repetitive matrix 1 [Source:MGI Symbol;Acc:MGI:1858303]
10090.ENSMUSP00000105980	ENSMUSG00000021134	Srsf5	20384	serine/arginine-rich splicing factor 5 [Source:MGI Symbol;Acc:MGI:98287]
10090.ENSMUSP00000038958	ENSMUSG00000034820	Cpsf7	269061	cleavage and polyadenylation specific factor 7 [Source:MGI Symbol;Acc:MGI:1917826]
10090.ENSMUSP00000054863	ENSMUSG00000051695	Pcbp1	23983	poly(rC) binding protein 1 [Source:MGI Symbol;Acc:MGI:1345635]
10090.ENSMUSP00000101616	ENSMUSG00000074088	Snrnp40	66585	small nuclear ribonucleoprotein 40 (U5) [Source:MGI Symbol;Acc:MGI:1913835]
10090.ENSMUSP00000031167	ENSMUSG00000029250	Polr2b	231329	polymerase (RNA) II (DNA directed) polypeptide B [Source:MGI Symbol;Acc:MGI:2388280]
10090.ENSMUSP00000093109	ENSMUSG00000006498	Ptbp1	19205	polypyrimidine tract binding protein 1 [Source:MGI Symbol;Acc:MGI:97791]
10090.ENSMUSP00000113685	ENSMUSG00000055436	Srsf11	69207	serine/arginine-rich splicing factor 11 [Source:MGI Symbol;Acc:MGI:1916457]
10090.ENSMUSP00000020203	ENSMUSG00000020018	Snrpf	69878	small nuclear ribonucleoprotein polypeptide F [Source:MGI Symbol;Acc:MGI:1917128]
10090.ENSMUSP00000044790	ENSMUSG00000042502	Cd2bp2	70233	CD2 antigen (cytoplasmic tail) binding protein 2 [Source:MGI Symbol;Acc:MGI:1917483]
10090.ENSMUSP00000047797	ENSMUSG00000041781	Cpsf2	51786	cleavage and polyadenylation specific factor 2 [Source:MGI Symbol;Acc:MGI:1861601]
10090.ENSMUSP00000076294	ENSMUSG00000056851	Pcbp2	18521	poly(rC) binding protein 2 [Source:MGI Symbol;Acc:MGI:108202]
10090.ENSMUSP00000007980	ENSMUSG00000007836	Hnrnpa0	77134	heterogeneous nuclear ribonucleoprotein A0 [Source:MGI Symbol;Acc:MGI:1924384]
10090.ENSMUSP00000020268	ENSMUSG00000020074	Ccar1	67500	cell division cycle and apoptosis regulator 1 [Source:MGI Symbol;Acc:MGI:1914750]
